model_id	host_strain_name	host_strain_nomenclature	engraftment_site	engraftment_type	sample_type	sample_state	passage_number	publications	Provider
TC464	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC466	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC467	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC468	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC470	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC471	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	1		MDAnderson
TC474	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC476	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC479	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC481	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC485	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC488	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0	PMID: 25444907	MDAnderson
TC490	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC491	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC494	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC495	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC496	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC497	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC503	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC76	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
TC78	NSG	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	Subcutaneous	Not provided	Tumor Solid	Not provided	0		MDAnderson
WBM550	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WCM214	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WCS190	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WDB227	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WDD203	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WGK569	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WGM222	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WGS170	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WLG158	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WLH6215	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WLM159	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WNB210	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WND238	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WPM171	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WRC604	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WRC897	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WRL159	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WRR214	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WSP172	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WTH202	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3703	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3899	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3913-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3913	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3918	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3928	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3932	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3933	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3937	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3961	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3964	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3978	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3993	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3997	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4003	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4007	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4052	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4067	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4073-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4077	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4073-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4113	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4115	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4125	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4150	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4160	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4173	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4174	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4175	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4180	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4182	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3901-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3903-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4188	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4191	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3907-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3915-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4196	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3908	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3909	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4198	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3915-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3921	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3922-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3924	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3926	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3927	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3929	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3934	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3935	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3936-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3940	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3941-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3942	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3939-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3936-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3960	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3963-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3965-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3971	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3972	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3973	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3974	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3983	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3988-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3991	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3992	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM3994-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4008 -1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4023	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4024	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4031	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4032	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4033-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4035	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4037	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4033-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4039-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4045	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4053-2	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4055	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4061	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4068	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
WM4070-1	NSG 	NOD.Cg-Prkdc<sup>scid</sup> Il2rg<sup>tm1Wjl</sup>/SzJ	 subcutaneous implant or injection;  low back /flank	Not provided	solid tumor	Not provided	0		WISTAR-MDAnderson-Penn
